date,dominant
2006-07-17,M0611
2006-07-18,M0611
2006-07-19,M0611
2006-07-20,M0611
2006-07-21,M0611
2006-07-24,M0611
2006-07-25,M0611
2006-07-26,M0611
2006-07-27,M0611
2006-07-28,M0611
2006-07-31,M0611
2006-08-01,M0701
2006-08-02,M0701
2006-08-03,M0701
2006-08-04,M0701
2006-08-07,M0701
2006-08-08,M0701
2006-08-09,M0701
2006-08-10,M0701
2006-08-11,M0701
2006-08-14,M0701
2006-08-15,M0701
2006-08-16,M0701
2006-08-17,M0701
2006-08-18,M0701
2006-08-21,M0701
2006-08-22,M0701
2006-08-23,M0701
2006-08-24,M0701
2006-08-25,M0701
2006-08-28,M0701
2006-08-29,M0701
2006-08-30,M0701
2006-08-31,M0701
2006-09-01,M0701
2006-09-04,M0701
2006-09-05,M0701
2006-09-06,M0701
2006-09-07,M0701
2006-09-08,M0701
2006-09-11,M0701
2006-09-12,M0701
2006-09-13,M0701
2006-09-14,M0701
2006-09-15,M0701
2006-09-18,M0701
2006-09-19,M0701
2006-09-20,M0701
2006-09-21,M0701
2006-09-22,M0701
2006-09-25,M0701
2006-09-26,M0701
2006-09-27,M0701
2006-09-28,M0701
2006-09-29,M0701
2006-10-09,M0701
2006-10-10,M0701
2006-10-11,M0701
2006-10-12,M0701
2006-10-13,M0701
2006-10-16,M0701
2006-10-17,M0701
2006-10-18,M0701
2006-10-19,M0701
2006-10-20,M0705
2006-10-23,M0705
2006-10-24,M0705
2006-10-25,M0705
2006-10-26,M0705
2006-10-27,M0705
2006-10-30,M0705
2006-10-31,M0705
2006-11-01,M0705
2006-11-02,M0705
2006-11-03,M0705
2006-11-06,M0705
2006-11-07,M0705
2006-11-08,M0705
2006-11-09,M0705
2006-11-10,M0705
2006-11-13,M0705
2006-11-14,M0705
2006-11-15,M0705
2006-11-16,M0705
2006-11-17,M0705
2006-11-20,M0705
2006-11-21,M0705
2006-11-22,M0705
2006-11-23,M0705
2006-11-24,M0705
2006-11-27,M0705
2006-11-28,M0705
2006-11-29,M0705
2006-11-30,M0705
2006-12-01,M0705
2006-12-04,M0705
2006-12-05,M0705
2006-12-06,M0705
2006-12-07,M0705
2006-12-08,M0705
2006-12-11,M0705
2006-12-12,M0705
2006-12-13,M0705
2006-12-14,M0705
2006-12-15,M0705
2006-12-18,M0705
2006-12-19,M0705
2006-12-20,M0705
2006-12-21,M0705
2006-12-22,M0705
2006-12-25,M0705
2006-12-26,M0705
2006-12-27,M0705
2006-12-28,M0705
2006-12-29,M0705
2007-01-04,M0705
2007-01-05,M0705
2007-01-08,M0705
2007-01-09,M0705
2007-01-10,M0705
2007-01-11,M0705
2007-01-12,M0705
2007-01-15,M0705
2007-01-16,M0705
2007-01-17,M0705
2007-01-18,M0705
2007-01-19,M0705
2007-01-22,M0705
2007-01-23,M0705
2007-01-24,M0705
2007-01-25,M0705
2007-01-26,M0705
2007-01-29,M0705
2007-01-30,M0705
2007-01-31,M0705
2007-02-01,M0709
2007-02-02,M0709
2007-02-05,M0709
2007-02-06,M0709
2007-02-07,M0709
2007-02-08,M0709
2007-02-09,M0709
2007-02-12,M0709
2007-02-13,M0709
2007-02-14,M0709
2007-02-15,M0709
2007-02-16,M0709
2007-02-26,M0709
2007-02-27,M0709
2007-02-28,M0709
2007-03-01,M0709
2007-03-02,M0709
2007-03-05,M0709
2007-03-06,M0709
2007-03-07,M0709
2007-03-08,M0709
2007-03-09,M0709
2007-03-12,M0709
2007-03-13,M0709
2007-03-14,M0709
2007-03-15,M0709
2007-03-16,M0709
2007-03-19,M0709
2007-03-20,M0709
2007-03-21,M0709
2007-03-22,M0709
2007-03-23,M0709
2007-03-26,M0709
2007-03-27,M0709
2007-03-28,M0709
2007-03-29,M0709
2007-03-30,M0709
2007-04-02,M0709
2007-04-03,M0709
2007-04-04,M0709
2007-04-05,M0709
2007-04-06,M0709
2007-04-09,M0709
2007-04-10,M0709
2007-04-11,M0709
2007-04-12,M0709
2007-04-13,M0709
2007-04-16,M0709
2007-04-17,M0709
2007-04-18,M0709
2007-04-19,M0709
2007-04-20,M0709
2007-04-23,M0709
2007-04-24,M0709
2007-04-25,M0709
2007-04-26,M0709
2007-04-27,M0709
2007-04-30,M0709
2007-05-08,M0709
2007-05-09,M0709
2007-05-10,M0709
2007-05-11,M0709
2007-05-14,M0709
2007-05-15,M0709
2007-05-16,M0709
2007-05-17,M0709
2007-05-18,M0709
2007-05-21,M0709
2007-05-22,M0709
2007-05-23,M0709
2007-05-24,M0709
2007-05-25,M0709
2007-05-28,M0709
2007-05-29,M0709
2007-05-30,M0709
2007-05-31,M0709
2007-06-01,M0709
2007-06-04,M0709
2007-06-05,M0709
2007-06-06,M0709
2007-06-07,M0709
2007-06-08,M0709
2007-06-11,M0709
2007-06-12,M0709
2007-06-13,M0709
2007-06-14,M0709
2007-06-15,M0709
2007-06-18,M0709
2007-06-19,M0709
2007-06-20,M0709
2007-06-21,M0709
2007-06-22,M0709
2007-06-25,M0709
2007-06-26,M0709
2007-06-27,M0709
2007-06-28,M0709
2007-06-29,M0709
2007-07-02,M0709
2007-07-03,M0709
2007-07-04,M0801
2007-07-05,M0801
2007-07-06,M0801
2007-07-09,M0801
2007-07-10,M0801
2007-07-11,M0801
2007-07-12,M0801
2007-07-13,M0801
2007-07-16,M0801
2007-07-17,M0801
2007-07-18,M0801
2007-07-19,M0801
2007-07-20,M0801
2007-07-23,M0801
2007-07-24,M0801
2007-07-25,M0801
2007-07-26,M0801
2007-07-27,M0801
2007-07-30,M0801
2007-07-31,M0801
2007-08-01,M0801
2007-08-02,M0801
2007-08-03,M0801
2007-08-06,M0801
2007-08-07,M0801
2007-08-08,M0801
2007-08-09,M0801
2007-08-10,M0801
2007-08-13,M0801
2007-08-14,M0801
2007-08-15,M0801
2007-08-16,M0801
2007-08-17,M0801
2007-08-20,M0801
2007-08-21,M0801
2007-08-22,M0801
